title,price,rating,reviews,availability,link
PlayStation 5 Console (PS5),$499.00,4.8 out of 5 stars,"14,102 ratings",In Stock,https://www.amazon.com/PlayStation-5-Console-CFI-1215A01X/dp/B0BCNKKZ91/ref=sr_1_1?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-1
PlayStation 5 Console CFI-1102A,,4.9 out of 5 stars,"7,334 ratings",,https://www.amazon.com/PlayStation-5-Console/dp/B09DFCB66S/ref=sr_1_2?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-2
PlayStation 5 Digital Edition,,4.9 out of 5 stars,"7,198 ratings",,https://www.amazon.com/PlayStation-5-Digital/dp/B08FC6MR62/ref=sr_1_3?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-3
PlayStation 5 Pulse 3D Wireless Headset,$98.99,4.7 out of 5 stars,"19,723 ratings",Not Available,https://www.amazon.com/PlayStation-Pulse-3D-Wireless-Headset/dp/B08H99878P/ref=sr_1_4?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-4
PlayStation DualSense Wireless Controller - Starlight Blue - PlayStation 5,$74.99,4.8 out of 5 stars,"74,863 ratings",Only 6 left in stock - order soon,https://www.amazon.com/PlayStation-DualSense-Wireless-Controller-Starlight-Blue/dp/B09NLJGTHL/ref=sr_1_5?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-5
"WD_BLACK 2TB SN850 NVMe SSD for PS5 Consoles Solid State Drive with Heatsink - Gen4 PCIe, M.2 2280, Up to 7,000 MB/s - WDBBKW0020BBK-WRSN",$179.99,4.8 out of 5 stars,"3,079 ratings",In Stock,https://www.amazon.com/WD_BLACK-SN850-Consoles-Solid-Heatsink/dp/B0B4SWQ39Y/ref=sr_1_6?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-6
Saga of Sins - PlayStation 5,$39.99,,,"This item will be released on November 3, 2023.",https://www.amazon.com/Saga-Sins-PlayStation-5/dp/B0C5JV8TSM/ref=sr_1_7?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-7
$50 PlayStation Store Gift Card [Digital Code],$50.00,4.7 out of 5 stars,"261,343 ratings",Available now,https://www.amazon.com/PlayStation-Store-Gift-Card-Digital/dp/B004RMK4P8/ref=sr_1_8?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-8
Xbox Series X – Forza Horizon 5 Bundle,,4.8 out of 5 stars,"21,798 ratings",Only 1 left in stock - order soon,https://www.amazon.com/Xbox-X-Forza-Horizon-5-Bundle/dp/B0BNWDC18R/ref=sr_1_9?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-9
Human: Fall Flat - Dream Collection - PlayStation 5,$29.99,,,"This item will be released on August 18, 2023.",https://www.amazon.com/Human-Fall-Flat-Dream-Collection-PlayStation/dp/B0C62KLF5N/ref=sr_1_10?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-10
Star Wars Jedi: Survivor Deluxe - PlayStation 5,$89.99,4.6 out of 5 stars,89 ratings,In Stock,https://www.amazon.com/Star-Wars-Jedi-Survivor-Deluxe-PlayStation/dp/B0BP5NV3M6/ref=sr_1_11?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-11
DREDGE: Deluxe Edition - PlayStation 5,$29.99,4.9 out of 5 stars,23 ratings,In Stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10200752W75L9ECGHOSW&url=%2FDREDGE-Deluxe-PlayStation-5%2Fdp%2FB0BW9GSX46%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dplaystation%2B5%26qid%3D1685190940%26sprefix%3Dplaystatrion%252Caps%252C261%26sr%3D8-12-spons%26psc%3D1&qualifier=1685190940&id=1502323469646510&widgetName=sp_mtf
"Logitech G29 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for PS5, PS4, PC, Mac - Black",,4.7 out of 5 stars,"16,608 ratings",,https://www.amazon.com/Logitech-Dual-motor-Feedback-Responsive-PlayStation/dp/B00Z0UWWYC/ref=sr_1_13?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-13
The Caligula Effect 2 - PlayStation 5,$49.99,,,"This item will be released on October 31, 2023.",https://www.amazon.com/Caligula-Effect-2-PlayStation-5/dp/B0C62Z2WF7/ref=sr_1_14?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-14
BCB Controllers Custom Modded Wireless Controllers Compatible with PS5 Controller | Works with Playstation 5 Console | Proudly Customized in USA with Permanent HYDRO-DIP Printing (NOT JUST A SKIN),$184.99,4.5 out of 5 stars,203 ratings,In Stock,https://www.amazon.com/Controller-compatible-Playstation-HYDROGRAPHIC-Technology-5/dp/B09SYX1GL3/ref=sr_1_15?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-15
"Corsair MP600 PRO LPX 2TB M.2 NVMe PCIe x4 Gen4 SSD - Optimized for PS5 (Up to 7,100MB/sec Sequential Read & 6,800MB/sec Sequential Write Speeds, High-Speed Interface, Compact Form Factor) Black",$129.99,4.8 out of 5 stars,"2,725 ratings",In Stock,https://www.amazon.com/Corsair-MP600-NVMe-PCIe-Gen4/dp/B09Q2NCFS7/ref=sr_1_16?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-16
Cult of the Lamb Standard Edition – PlayStation 5,$32.36,5.0 out of 5 stars,3 ratings,In Stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04445203SYKZMFPMNFI1&url=%2FCult-Lamb-Standard-PlayStation-5%2Fdp%2FB0BJW2496Q%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dplaystation%2B5%26qid%3D1685190940%26sprefix%3Dplaystatrion%252Caps%252C261%26sr%3D8-17-spons%26psc%3D1&qualifier=1685190940&id=1502323469646510&widgetName=sp_mtf
$100 PlayStation Store Gift Card [Digital Code],$100.00,4.7 out of 5 stars,"261,345 ratings",Available now,https://www.amazon.com/PlayStation-Store-Gift-Card-Digital/dp/B00K59HKIQ/ref=sr_1_18?keywords=playstation+5&qid=1685190940&sprefix=playstatrion%2Caps%2C261&sr=8-18
Company of Heroes 3: Console Launch Edition - PlayStation 5,$59.99,,,"This item will be released on May 30, 2023.",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05089503MSESXSNRC2VS&url=%2FCompany-Heroes-Console-Launch-PlayStation-5%2Fdp%2FB0C2QS61M6%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Dplaystation%2B5%26qid%3D1685190940%26sprefix%3Dplaystatrion%252Caps%252C261%26sr%3D8-19-spons%26psc%3D1&qualifier=1685190940&id=1502323469646510&widgetName=sp_btf
"PDP AIRLITE Headset with Mic for PS5, PS4, PC - Frost White",$24.99,4.4 out of 5 stars,"4,888 ratings",In Stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0410589LU3ZYUKFUJ04&url=%2FPlayStation-Headset-Mic-Compatible-AIRLITE-5%2Fdp%2FB07VC8BZZX%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dplaystation%2B5%26qid%3D1685190940%26sprefix%3Dplaystatrion%252Caps%252C261%26sr%3D8-20-spons%26psc%3D1&qualifier=1685190940&id=1502323469646510&widgetName=sp_btf
Sonic Origins Plus - PlayStation 5,$39.99,,,"This item will be released on June 23, 2023.",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0487487KN6RJQHMX7UI&url=%2FSonic-Origins-Plus-PlayStation-5%2Fdp%2FB0BZFCRLDW%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dplaystation%2B5%26qid%3D1685190940%26sprefix%3Dplaystatrion%252Caps%252C261%26sr%3D8-21-spons%26psc%3D1&qualifier=1685190940&id=1502323469646510&widgetName=sp_btf
